,number,value,datetime_start,datetime_complete,duration,params_dropout,params_g_lr_ratio,params_g_steps,params_hidden_dim,params_k_steps,params_label_fake,params_label_real,params_lr_d,params_nhead,params_num_layers,state
24,24,,2025-12-12 06:03:03.941543,2025-12-12 06:03:03.997650,0 days 00:00:00.056107,0.15034123666576166,0.6871671865933984,2,128,1,0.14800351371236944,0.9561522840557781,0.00022199218399067622,2,2,PRUNED
25,25,,2025-12-12 06:03:04.003593,2025-12-12 06:03:04.059473,0 days 00:00:00.055880,0.12307926219657,0.22638495355616878,2,128,1,0.13880661059061805,0.976527495248963,9.65704699746729e-05,2,2,PRUNED
26,26,,2025-12-12 06:03:04.065348,2025-12-12 06:03:04.125598,0 days 00:00:00.060250,0.16932210408608775,0.8039135156144366,1,128,2,0.10560665429688468,0.9337692887355986,0.00029142611208823877,2,2,PRUNED
27,27,,2025-12-12 06:03:04.131492,2025-12-12 06:03:04.213528,0 days 00:00:00.082036,0.14777584643228367,0.4570518512226281,3,512,3,0.18117777783264644,0.9110227113831024,0.00015638168997960482,2,3,PRUNED
28,28,,2025-12-12 06:03:04.220820,2025-12-12 06:03:04.279846,0 days 00:00:00.059026,0.18967673858149772,1.035316774195636,2,128,1,0.0257401494813538,0.8933466803102691,0.00040086896197632995,2,3,PRUNED
29,29,,2025-12-12 06:03:04.285276,2025-12-12 06:03:04.342647,0 days 00:00:00.057371,0.14161362359665497,0.6489741831379178,2,128,2,0.05762809088492574,0.9397284243824076,0.00010514982059031311,4,2,PRUNED
30,30,,2025-12-12 06:03:04.348022,2025-12-12 06:03:04.430487,0 days 00:00:00.082465,0.15723419608453162,0.5270472327088095,2,512,2,0.0854651496387844,0.8628656942299936,0.0002941776672740146,8,3,PRUNED
31,31,,2025-12-12 06:03:04.436459,2025-12-12 06:03:04.497678,0 days 00:00:00.061219,0.10317724429146312,0.938670522242844,3,256,2,0.0548697760007999,0.9170665174402121,0.0002543078221804383,8,4,PRUNED
32,32,,2025-12-12 06:03:04.503210,2025-12-12 06:03:04.562809,0 days 00:00:00.059599,0.12465283159854354,0.3096606321858408,2,256,2,0.04104465533024596,0.8522126086462238,0.00031750925832607873,8,2,PRUNED
33,33,,2025-12-12 06:03:04.567924,2025-12-12 06:03:04.625183,0 days 00:00:00.057259,0.16759717078699307,0.5211195666449497,2,256,2,0.026581796576118324,0.8649965765775359,0.00021004291390994609,8,3,PRUNED
34,34,,2025-12-12 06:03:04.631321,2025-12-12 06:03:04.688774,0 days 00:00:00.057453,0.15557587355741595,0.6201175117054609,2,256,2,0.06065977100969511,0.8943667629508342,0.0001703566730630571,8,3,PRUNED
35,35,,2025-12-12 06:03:04.696329,2025-12-12 06:03:04.759711,0 days 00:00:00.063382,0.20341623041724152,0.37271473008062966,2,256,1,0.044764898395096134,0.8685931026865913,0.0004350417680436727,8,2,PRUNED
36,36,,2025-12-12 06:03:04.765600,2025-12-12 06:03:04.824639,0 days 00:00:00.059039,0.16590981365062868,0.5773019497516443,2,256,3,0.0007654727677731538,0.8507991973749215,0.00038003165067237136,4,4,PRUNED
37,37,,2025-12-12 06:03:04.830497,2025-12-12 06:03:04.892026,0 days 00:00:00.061529,0.18077599365586036,0.49472337904247143,1,256,2,0.0669337380247999,0.9870677065130509,0.00026687679260151343,2,3,PRUNED
