,number,value,datetime_start,datetime_complete,duration,params_embedding_dim,params_g_lr_ratio,params_hidden_dim,params_k_steps,params_label_fake,params_label_real,params_lr_d,params_noise_dim,state
19,19,0.6919831223628692,2025-12-13 16:07:44.556596,2025-12-13 16:09:53.751780,0 days 00:02:09.195184,128,0.2759764030737115,256,2,0.13579602550122344,0.9724633270330941,0.00098070673482544,100,PRUNED
20,20,0.7285513361462729,2025-12-13 16:09:53.751884,2025-12-13 16:14:59.900415,0 days 00:05:06.148531,256,0.4772832951200663,512,2,0.08230335251003561,0.9463952854771734,0.000486903329723882,100,COMPLETE
21,21,0.5021097046413502,2025-12-13 16:14:59.900583,2025-12-13 16:15:15.253961,0 days 00:00:15.353378,256,0.4540359612100949,512,2,0.08374848456360176,0.9443307852488133,0.0005492159819001889,100,PRUNED
22,22,0.5133614627285513,2025-12-13 16:15:15.254061,2025-12-13 16:15:45.876432,0 days 00:00:30.622371,256,0.519360848946999,512,2,0.11938279788176,0.923094743253461,0.00039423388456080234,100,PRUNED
23,23,0.7018284106891702,2025-12-13 16:15:45.876536,2025-12-13 16:20:15.338002,0 days 00:04:29.461466,256,0.32237984398450714,512,3,0.1116675321584391,0.9804409560349178,0.0006264990498372762,100,COMPLETE
24,24,0.49929676511954996,2025-12-13 16:20:15.338164,2025-12-13 16:20:35.933540,0 days 00:00:20.595376,256,0.2255758046809356,512,1,0.05126299948917813,0.9524497912571437,0.00012658103549806186,100,PRUNED
25,25,0.5035161744022504,2025-12-13 16:20:35.933640,2025-12-13 16:20:51.277717,0 days 00:00:15.344077,256,0.9032458619727037,512,2,0.1423443111191058,0.9275107849634041,0.00023697294666696664,100,PRUNED
26,26,0.5133614627285513,2025-12-13 16:20:51.277819,2025-12-13 16:21:04.793122,0 days 00:00:13.515303,256,0.48805560457957764,512,3,0.08344648507248076,0.9821358110020155,0.00032210123634535446,100,PRUNED
27,27,0.5864978902953587,2025-12-13 16:21:04.793230,2025-12-13 16:21:50.762522,0 days 00:00:45.969292,256,0.16089256079910053,512,2,0.17761643926724108,0.9544294202654855,0.0006499123486225657,100,PRUNED
28,28,0.31223628691983124,2025-12-13 16:21:50.762622,2025-12-13 16:22:02.189416,0 days 00:00:11.426794,128,0.591684144033066,256,1,0.11034391056846002,0.8866265854711438,3.407717045244522e-05,100,PRUNED
29,29,0.42616033755274263,2025-12-13 16:22:02.189514,2025-12-13 16:22:06.746083,0 days 00:00:04.556569,64,0.3414660282968673,128,2,0.07366882604538413,0.9091970144501352,0.0005071325770132068,100,PRUNED
30,30,0.5147679324894515,2025-12-13 16:22:06.746185,2025-12-13 16:22:12.790326,0 days 00:00:06.044141,256,0.6943156940579311,128,2,0.08462479084367018,0.9730577529640282,0.0007906562264465107,100,PRUNED
31,31,0.7116736990154712,2025-12-13 16:22:12.790431,2025-12-13 16:29:03.917581,0 days 00:06:51.127150,256,0.40115074181903376,512,1,0.15992440099159738,0.9864362974362699,0.0003206132620009569,100,COMPLETE
